text_a	label
" I 'm looking forward to this race .	O O O O O O O O O
MINNESOTA 65 65 .500 12	B-ORG O O O O
Mokhoff said uncertainty about when Gazprom would issue ADRs and about whether shares from the Russian market could be converted into ADRs had hurt prices .	B-PER O O O O B-ORG O O B-MISC O O O O O O B-MISC O O O O O B-MISC O O O O
Magnus Larsson ( Sweden ) vs. Alexander Volkov ( Russia )	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O
Scoreboard on the last day of the	O O O O O O O
Bessemer has funded numerous Internet pioneers , including PSI Net , VeriSign and Individual .	B-ORG O O O B-MISC O O O B-ORG I-ORG O B-ORG O B-ORG O
13. Johnny Herbert ( Britain ) 4	O B-PER I-PER O B-LOC O O
Portsmouth 3 1 0 2 3 5 3	B-ORG O O O O O O O
PSV Eindhoven 2 2 0 0 8 2 6	B-ORG I-ORG O O O O O O O
2. Bob Moore ( U.S. ) Yamaha	O B-PER I-PER O B-LOC O B-ORG
AMSTERDAM 1996-08-22	B-LOC O
Third seed Thomas Muster of Austria also charged into the second round with a 6-1 7-6 ( 7-2 ) 6-2 romp over Javier Frana of Argentina .	O O B-PER I-PER O B-LOC O O O O O O O O O O O O O O O O B-PER I-PER O B-LOC O
7. Alexandre Gontchenkov ( Ukraine ) 67	O B-PER I-PER O B-LOC O O
-DOCSTART-	O
LONDON 1996-08-26	B-LOC O
- Palestinian Minister Erekat says Israel-PLO talks will begin by September 2 .	O B-MISC O B-PER O B-MISC O O O O O O O
" Microsoft sent a lot of signals that NT was going to be the answer , " Winkler said . "	O B-ORG O O O O O O B-MISC O O O O O O O O B-PER O O O
ATHLETICS - IT 'S A RECORD - 40,000 BEERS ON THE HOUSE .	O O O O O O O O O O O O O
China says Taiwan spoils atmosphere for talks .	B-LOC O B-LOC O O O O O
New Zealand - Tries : Jeff Wilson ( 2 ) , Zinzan Brooke .	B-LOC I-LOC O O O B-PER I-PER O O O O B-PER I-PER O
Conchita Martinez decided that when in New York , do as the New Yorkers do -- and the Spaniard 's new-found aggressiveness seems to have put her in the right frame of mind for the U.S. Open .	B-PER I-PER O O O O B-LOC I-LOC O O O O B-MISC I-MISC O O O O B-MISC O O O O O O O O O O O O O O O O B-MISC I-MISC O
CURRENCIES	O
" We 've always taken the view that we are the sort of company that 's quite capable of working in difficult circumstances -- we 're rather used to it .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The president justified his proposal by the delays verified in the peace process , including the fact that areas under Unita control or occupation have not been effectively demilitarised , where the Unita military forces have been substituted by their so-called police .	O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O B-ORG O O O O O O O O O O
NATO forces released a group of Bosnian Serb policemen late on Thursday and a tense confrontation appeared to be easing , an alliance spokesman said .	B-ORG O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O
The pact ends five years of hostility after Croatia 's secession from federal Yugoslavia .	O O O O O O O O B-LOC O O O O B-LOC O
St Pauli 4 1 1 2 7 11 4	B-ORG I-ORG O O O O O O O
Alan Mullally 3 5 1 39 24 9.75	B-PER I-PER O O O O O O
ARA gas oil barges were quiet although one trader said he had seen offers at $ 1 a tonne over September IPE for prompt barrels , while Antwerp material was available for 0-50 cents over September .	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O
The researchers predicted there would be 340 new infections and 14,000 new cases of BSE before 2001 .	O O O O O O O O O O O O O O B-MISC O O O
A Belgian brewery has offered to pay for a free round of drinks for all of the 40,000 crowd if a world record goes at the meeting , organisers said on Thursday .	O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1996-08-26	O
The bank said most of the charges resulted from loan portfolios from banks and thrifts that were acquired in the 1980s .	O O O O O O O O O O O O O O O O O O O O O O
Net 934 million 490 million 538 million	O O O O O O O
There was also heavy security in the crowded centre of Amman , where smaller clashes had erupted last Saturday , but Friday prayers at the main mosque ended quietly as police in full riot gear looked on .	O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O
The clashes , shattering a ceasefire negotiated last year by Washington , had threatened a U.S.-led peace plan to unite the Kurdish region against Iraqi President Saddam Hussein .	O O O O O O O O O O B-LOC O O O O B-MISC O O O O O B-MISC O O B-MISC O B-PER I-PER O
Dahshour is the site of Egypt 's second largest pyramid , built for the pharaoh Seneferu more than 4,500 years ago .	B-LOC O O O O B-LOC O O O O O O O O O B-PER O O O O O O
IRAQ	B-LOC
Martin Gates , Anders Haglund ( Sweden )	B-PER I-PER O B-PER I-PER O B-LOC O
9,000 .	O O
" The new evidence to me means some of that proposal should be re-examined because we could get away with considerably less animals being culled if in fact scientists throughout Europe accepted this evidence , " Naish said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O B-PER O O
points , total points ) :	O O O O O O
Mia , a father of five children , had a restaurant business in a London suburb .	B-PER O O O O O O O O O O O O O B-LOC O O
-DOCSTART-	O
" I will no longer be deputy by the time the film opens , " he said in a broadcast interview .	O O O O O O O O O O O O O O O O O O O O O O
3. Susan Smith ( Ireland ) 56.00	O B-PER I-PER O B-LOC O O
CRICKET - CROFT RESTRICTS PAKISTAN TO 225-5 .	O O B-PER O B-LOC O O O
The state of health of Boris Yeltsin , who had two heart attacks last year , has been the centre of media and market speculation after he won a second term in office in the July 3 election run-off and all but disappeared from the public eye .	O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3. Bartoli 108	O B-PER O
Temperatures near normal .	O O O O
Cal Ripken 's bases-loaded walk scored Brady Anderson with the winning run in the bottom of the 10th as the Baltimore Orioles regained control of the top spot in the wild-card race with a wild 12-11 victory over the Oakland Athletics .	B-PER I-PER O O O O B-PER I-PER O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O B-ORG I-ORG O
Bowling : Gough 10-0-44-1 , Mullally 10-3-31-1 , Headley	O O B-PER O O B-PER O O B-PER
Afghan government military chief Ahmad Shah Masood briefed visiting U.S. Congressman Dana Rohrabacher on Tuesday on a peace plan for his wartorn country .	B-MISC O O O B-PER I-PER I-PER O O B-LOC O B-PER I-PER O O O O O O O O O O O
BUSINESS PAGES	O O
1-3 .	O O
On April 28 , a lone gunman went on a shooting rampage at the site of the historic Port Arthur penal settlement , killing 35 people .	O O O O O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O
Eight ran .	O O O
Under Newcombe 's leadership , Australia were relegated from the elite world group last year , the first time the 26-time Davis Cup winners had slipped from the top rank .	O B-PER O O O B-LOC O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O O O
Defenders - Jorge Costa , Paulinho Santos , Helder Cristovao , Carlos Secretario , Dimas Teixeira , Fernando Couto .	O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O
Cup qualifying round , second leg soccer matches on Thursday :	B-MISC O O O O O O O O O O
8. Fabio Baldato ( Italy ) 11 seconds behind	O B-PER I-PER O B-LOC O O O O
BUCHAREST 1996-08-27	B-LOC O
Interest charges 2.20 vs 5.05	O O O O O
-- Islamabad newsroom 9251-274757	O B-LOC O O
Producers were expected to ship as many hogs as they can ahead of the Labor Day holiday weekend , they said .	O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O
BOSTON 64 65 .496 10	B-ORG O O O O
Britain gives aid to volcano-hit Caribbean island .	B-LOC O O O O B-LOC O O
1860 Munich 1 ( Schwabl 38th ) Borussia Dortmund 3 ( Zorc	B-ORG I-ORG O O B-PER O O B-ORG I-ORG O O B-PER
A forensic scientist who examined the supposed skull of 19th century King Hintsa , a chief of President Nelson Mandela 's Xhosa tribe killed in battle by the British , said it was in fact the cranium of a European woman .	O O O O O O O O O O O O B-PER O O O O O B-PER I-PER O B-MISC O O O O O O B-MISC O O O O O O O O O O B-MISC O O
Bowling : Wasim Akram 9.4-1-45-3 , Waqar Younis 7-0-28-1 ,	O O B-PER I-PER O O B-PER I-PER O O
SOCCER - NORWAY ELITE DIVISION RESULTS / STANDINGS .	O O B-LOC O O O O O O
-DOCSTART-	O
But the church learned in a recent meeting with the local commander that no instructions to release the prisoners were received and they would be held until investigations were completed .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
He said further scientific study was required and if it was found that action was needed it should be taken by the European Union .	O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O
Birmingham Public Park , Ala .	B-LOC I-LOC I-LOC O B-LOC O
Nigeria said they would be restricted to a two-day meeting with government officials , but the Commonwealth said it wanted to hold meetings with people outside the government and called off the visit .	B-LOC O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O
TENNIS - RESULTS AT TOSHIBA CLASSIC .	O O O O B-MISC I-MISC O
Iran has hanged two drug traffickers in the southern city of Shiraz , the evening newspaper Resalat reported on Saturday .	B-LOC O O O O O O O O O O B-LOC O O O O B-ORG O O O O
matches on Saturday :	O O O O
AKRON , Ohio 1996-08-23	B-LOC O B-LOC O
Petrimex Prievidza 2 FC Rimavska Sobota 0	B-ORG I-ORG O B-ORG I-ORG I-ORG O
" I would like to no ( sic ) if you are still in slavery if you are , it will not be long before we shall have crushed the system that now oppreses you for in the course of three months you shall have your liberty .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-	O
U.S. corn gluten feed prices were flat while meal values were steady to firmer on Thursday .	B-LOC O O O O O O O O O O O O O O O O
-DOCSTART-	O
Weinstein was found dead last weekend alongside the bodies of eight-year-olds Julie Lejeune and Melissa Russo in a house belonging to Detroux , who said they starved to death earlier this year , nine months after being abducted in June 1995 .	B-PER O O O O O O O O O O B-PER I-PER O B-PER I-PER O O O O O B-PER O O O O O O O O O O O O O O O O O O O O
-DOCSTART-	O
The bank 's governor Sudradjat Djiwandono was quoted as saying on Monday about 5.4 billion rupiah of the seven billion rupiah had been recovered .	O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O
Men 's singles , quarter-finals	O O O O O
Interior Minister Manfred Kanther said in a statement he " welcomed the prosecution and conviction of one of the ringleaders of international neo-Nazism and biggest distributers of vicious racist publications " .	O O B-PER I-PER O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O O
This is a decision of the leadership , " Garang said .	O O O O O O O O O B-PER O O
That 's wrong , " the pilot told private Ihlas news agency in English .	O O O O O O O O O B-ORG O O O B-MISC O
Scoreboard on the first day of the	O O O O O O O
PHOENIX 1996-08-22	B-LOC O
NEW YORK 1996-08-27	B-LOC I-LOC O
30. Lithuania 8.06	O B-LOC O
He entered the Military College in 1935 .	O O O B-ORG I-ORG O O O
Results of Yugoslav league	O O B-MISC O
It gets my adrenalin going , those taxi drivers .	O O O O O O O O O O
Ijaz Ahmed c Stewart b Mullally 61	B-PER I-PER O B-PER O B-PER O
for Sunday 's Belgian Grand Prix motor race after final	O O O B-MISC I-MISC I-MISC O O O O
( Schreuder 39th , Van Arum 76th , 83rd ) .	O B-PER O O B-PER I-PER O O O O O
4. Anja Smolders ( Belgium ) 2:43.06	O B-PER I-PER O B-LOC O O
Business info Europe 231 24 178 18	O O B-LOC O O O O
Moody 's Investors Service -	B-ORG I-ORG I-ORG I-ORG O
The shooting occured around 6.30 a.m. ( 2030 GMT ) on Tuesday at Glenwood , south of Maryborough , about 150 km ( 93 miles ) north of Brisbane on the Queensland state coast .	O O O O O O O O B-MISC O O O O B-LOC O O O B-PER O O O O O O O O O O B-LOC O O B-LOC O O O
Fulcheri started his U.N. career in 1960 and has long experience in U.N. emergency relief in Congo , Angola , Sudan and Somalia .	B-PER O O B-ORG O O O O O O O O B-ORG O O O B-LOC O B-LOC O B-LOC O B-LOC O
Civil servants earn on average Z$ 1,000 ( $ 100 ) a month .	O O O O O B-MISC O O O O O O O O
The U.S. followed with a 24.6 percent share .	O B-LOC O O O O O O O
EASTERN DIVISION	B-MISC I-MISC
Russia 's double Olympic champion Svetlana Masterkova smashed her second world record in just 10 days on Friday when she bettered the mark for the women 's 1,000 metres .	B-LOC O O B-MISC O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O
CRICKET - ENGLAND V PAKISTAN FINAL TEST SCOREBOARD .	O O B-LOC O B-LOC O O O O
-DOCSTART-	O
8. Sven Teutenberg ( Germany ) U.S. Postal 31	O B-PER I-PER O B-LOC O B-ORG I-ORG O
Attendance not given .	O O O O
TOTAL 1,113,785 up 3.8	O O O O
ANSA said Stevanin was unable to recall how he had killed the women , remembering only that he had found them " lifeless in his arms " after having sadmasochistic sex with them .	B-ORG O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3. Andrea Giaconi ( Italy ) 13.80	O B-PER I-PER O B-LOC O O
NEW YORK 72 54 .571 -	B-ORG I-ORG O O O O
Extras 9	O O
In addition another $ 12 million was anticipated to cover other expenses , such as oil experts and administrative costs .	O O O O O O O O O O O O O O O O O O O O O
Tim Belcher ( 12-8 ) was tagged for six runs and nine hits in eight innings .	B-PER I-PER O O O O O O O O O O O O O O O
One trader said despite the fact that some kerosene was in storage at Dubai ports , demand looked to exceed supply in the near term .	O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O
UAG 1 Neza 2	B-ORG O B-ORG O
on the contrary he was harassed by the elements which carried out the hijacking , " he said .	O O O O O O O O O O O O O O O O O O O
CHICAGO 70 64 .522 10	B-ORG O O O O
MADRID 1996-08-29	B-LOC O
NEW YORK 1996-08-26	B-LOC I-LOC O
HONG KONG 1996-08-23	B-LOC I-LOC O
Andrew Gray	B-PER I-PER
CRICKET - PAKISTAN 229-1 V ENGLAND - close .	O O B-LOC O O B-LOC O O O
Storm kills 11 at Macedonian religious festival .	O O O O B-MISC O O O
-DOCSTART-	O
Bayer Leverkusen 3 2 0 1 7 4 6	B-ORG I-ORG O O O O O O O
+9 Tom Watson 79 70	O B-PER I-PER O O
Ssangbangwool 57 2 47 .547 6 1/2	B-ORG O O O O O O
The tournament also lost its second seed on the third day of play when second-seeded Goran Ivanisevic of Croatia was beaten 6-7(3-7 ) 6-4 6-4 by unseeded Mikael Tillstrom of Sweden .	O O O O O O O O O O O O O O O B-PER I-PER O B-LOC O O O O O O O O B-PER I-PER O B-LOC O
The 58-year-old Claverie was killed in August 1 in a bomb blast at his residence in the western Algerian city of Oran , hours after he met visiting French Foreign Minister Herve de Charette in Algiers .	O O B-PER O O O O O O O O O O O O O O O B-MISC O O B-LOC O O O O O O B-MISC O O B-PER I-PER I-PER O B-LOC O
PARIS 1996-08-28	B-LOC O
Wednesday , who escaped relegation on the final day of last season , have now won their first three games of the season .	B-ORG O O O O O O O O O O O O O O O O O O O O O O O
" What happened concerning continuous violations and crimes from this new Israeli leadership means they are declaring a state of war against the Palestinian people , " Arafat told the council .	O O O O O O O O O O O B-MISC O O O O O O O O O O O B-MISC O O O B-PER O O O O
TAIBE , Israel 1996-08-23	B-LOC O B-LOC O
-DOCSTART-	O
Higher newsprint prices hit profits hard . "	O O O O O O O O
Shares in retailer Metro Holdings dropped 3.31 percent , or Singapore $ 0.20 , to S$ 5.85 minutes after the market opened on Monday .	O O O B-ORG I-ORG O O O O O B-LOC O O O O B-MISC O O O O O O O O O
ST LOUIS AT COLORADO	B-ORG I-ORG O B-LOC
( C )	O O O
6-1 3-6 7-5 6-3	O O O O
The hijack started when the flight left Khartoum for Amman on Monday night .	O O O O O O O B-LOC O B-LOC O O O O
Passengers injured in train collision in Linz .	O O O O O O B-LOC O
KANSAS CITY 61 73 .455 19 1/2	B-ORG I-ORG O O O O O
-DOCSTART-	O
Ties between the two neighbours , strained also over a military accord between Turkey and Israel which drew strong Iranian objections , have improved since Islamist Necmettin Erbakan took over as Turkish prime minister in June .	O O O O O O O O O O O O O B-LOC O B-LOC O O O B-MISC O O O O O B-MISC B-PER I-PER O O O B-MISC O O O O O
She added , " But we need to do more .	O O O O O O O O O O O
-DOCSTART-	O
Red Star win on away goals rule .	B-ORG I-ORG O O O O O O
CHICAGO 1996-08-27	B-LOC O
Standings ( tabulate under played , won , drawn , lost , goals	O O O O O O O O O O O O O
-- ( New York commodities desk 212 859 1646 )	O O B-LOC I-LOC O O O O O O
South Sydney 21 5 1 15 304 586 11	B-ORG I-ORG O O O O O O O
Scottish division two - Ayr v Berwick , Clyde v Queen of the	B-MISC O O O B-ORG O B-ORG O B-ORG O B-ORG I-ORG I-ORG
Total ( for 5 wickets , 46.4 overs ) 226	O O O O O O O O O O
NICE , France 1996-08-29	B-LOC O B-LOC O
Bayern Munich 4 ( Zickler 26th , Helmer 37th , Klinsmann 44th ,	B-ORG I-ORG O O B-PER O O B-PER O O B-PER O O
Total M4 adj .	O O O O
SOCCER - FRENCH LEAGUE SUMMARIES .	O O B-MISC O O O
-DOCSTART-	O
NEW YORK 1996-08-23	B-LOC I-LOC O
Kornblum , Milosevic discuss election crisis .	B-PER O B-PER O O O O
REUTER	B-PER
Red Star 2 2 0 0 3 1 6	B-ORG I-ORG O O O O O O O
Results of Australian rugby league matches played at the weekend .	O O B-MISC O O O O O O O O
SAN DIEGO 71 60 .542 -	B-ORG I-ORG O O O O
-DOCSTART-	O
" We 've been asked ( by Yemen ) not to comment ( on the talks ) , " said Amoco spokesman Dan Dietsch . "	O O O O O O O B-LOC O O O O O O O O O O O O B-ORG O B-PER I-PER O O
Fortuna Sittard 2 ( Jeffrey 7 , Roest 33 ) Heerenveen 4 ( Korneev	B-ORG I-ORG O O B-PER O O B-PER O O B-ORG O O B-PER
Plymouth 2 Preston 1	B-ORG O B-ORG O
- A cabinet minister : " Lebanon First " aims at splitting the Syrian-Lebanese peace tracks with Israel .	O O O O O O B-ORG I-ORG O O O O O B-MISC O O O B-LOC O
The agreement resolved a dispute that arose in June when Colombia turned down American 's request to operate flights between New York and Bogota , a denial that prompted the United States to charge that the Colombians were breaking a bilateral aviation agreement and to propose sanctions against one of two Colombian airlines , Avianca and ACES .	O O O O O O O O O O B-LOC O O B-ORG O O O O O O B-LOC I-LOC O B-LOC O O O O O O B-LOC I-LOC O O O O B-MISC O O O O O O O O O O O O O O B-MISC O O B-ORG O B-ORG O
It said its arms purchases were for defensive purposes .	O O O O O O O O O O
" I probably did n't hit five ground strokes in the whole match , " said Muster , only partly joking . "	O O O O O O O O O O O O O O O O B-PER O O O O O O
Spring Chg HRW 12pct Chg White Chg	B-LOC O O O O O O
RTRS - Melbourne train collides with truck , 15 injured .	B-ORG O B-LOC O O O O O O O O
Kan told a cabinet meeting on Tuesday that no new victims have been reported since August 8 , indicating that the peak has passed , at least for Sakai .	B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O
BASEBALL - MAJOR LEAGUE RESULTS MONDAY .	O O B-MISC I-MISC O O O
Scorers :	O O
soccer played on Sunday :	O O O O O
-DOCSTART-	O
CBOE in routine review of MFS options .	B-ORG O O O O B-ORG O O
Derby 3 0 2 1 4 6 2	B-ORG O O O O O O O
-DOCSTART-	O
Israeli-Syrian peace talks have been deadlocked over the Golan since 1991 despite the previous government 's willingness to make Golan concessions .	B-MISC O O O O O O O B-LOC O O O O O O O O O O B-LOC O O
( Sweden )	O B-LOC O
MAY 1996 CDU / CSU SPD FDP Greens PDS	O O B-ORG I-ORG I-ORG B-ORG B-ORG B-ORG B-ORG
8. Wayne Riley ( Australia ) 233,713	O B-PER I-PER O B-LOC O O
76 71 , Paul Goydos 66 75 74 71 , Ernie Els ( South Africa ) 71 71	O O O B-PER I-PER O O O O O B-PER I-PER O B-LOC I-LOC O O O
The PLO wants East Jerusalem as the capital of a future Palestinian state .	O B-ORG O B-LOC I-LOC O O O O O O B-MISC O O
Sales 8.67 vs 9.33	O O O O
Baseball games played on Sunday ( home team in CAPS ) :	O O O O O O O O O O O O
BUDAPEST 1996-08-23	B-LOC O
" He is in no danger and will be treated and observed this evening , " said Orioles team physician Dr. William Goldiner , adding that Johnson is expected to be released on Friday .	O O O O O O O O O O O O O O O O O B-ORG O O O B-PER I-PER O O O B-PER O O O O O O O O
A.G. Edwards & Sons , Inc .	B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O
Did Not Bat : Mushtaq Ahmed , Waqar Younis , Ata-ur-Rehman ,	O O O O B-PER I-PER O B-PER I-PER O B-PER O
1. Andrea Ferrigato ( Italy ) 5 hours 51 minutes 52 seconds	O B-PER I-PER O B-LOC O O O O O O O
Japanese shipments of aluminium mill products in July surged 8.9 percent over the same month last year to 224,609 tonnes , while production rose 6.4 percent to 222,457 tonnes , according to preliminary data released on Tuesday by the Japan Aluminium Federation .	B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O
5. Capiot 5	O B-PER O
Companion Marble posts 1st final result .	B-ORG I-ORG O O O O O
State chief minister M. Karunanidhi has publicly welcomed the refugees , who are fleeing the 13-year war between Tamil separatists and government troops that Colombo says has cost 50,000 lives .	O O O B-PER I-PER O O O O O O O O O O O O O B-MISC O O O O O B-LOC O O O O O O
Chad 's President Idriss Deby has signed a decree fixing November 24 as the date for parliamentary elections , state radio said on Thursday .	B-LOC O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O
Hyundai 5 Samsung 4	B-ORG O B-ORG O
Third day	O O
Milenko Kovasevic ( 60th , penalty ) , Goran Koprinovic ( 82nd ) ,	B-PER I-PER O O O O O O B-PER I-PER O O O O
Essendon 14.16 ( 100 ) Sydney 12.10 ( 82 )	B-ORG O O O O B-ORG O O O O
Canada 's Prairies saw no frost on Monday morning and none was expected anywhere on the grainbelt until late in the Labour Day long weekend , Environment Canada said .	B-LOC O B-LOC O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O B-ORG I-ORG O O
BAGHDAD 1996-08-27	B-LOC O
Lisa Raymond ( U.S. ) beat Lori McNeil ( U.S. ) 7-6 ( 8-6 ) 6-3	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O
Jet kero 15 15-20 25	O O O O O
The final decision will now be made by a larger assembly .	O O O O O O O O O O O O
The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .	O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O
BONN 1996-08-29	B-LOC O
Shanghai Ek Chor opens new motorcyle plant .	B-ORG I-ORG I-ORG O O O O O
Australia , led by wicketkeeper Ian Healy , opened their short tour of Sri Lanka with a five-run win over the country 's youth team on Thursday .	B-LOC O O O O B-PER I-PER O O O O O O B-LOC I-LOC O O O O O O O O O O O O O
Democratic leaders said there was not room on the program for every retired governor to speak .	B-MISC O O O O O O O O O O O O O O O O
Central bank officials said on Thursday that a much-postponed hryvna currency would " definitely " be introduced before the end of this year .	O O O O O O O O O O O O O O O O O O O O O O O O
One officer and a soldier killed in accidental clash between two groups of soldiers near Chavakachcheri in Jaffna .	O O O O O O O O O O O O O O O B-LOC O B-LOC O
The U.N. Department of Humanitarian Affairs ( DHA ) , which has to coordinate the distribution of food , medicine and other goods , increased the number of monitors earlier this month at the insistence of the United States .	O B-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC O
-DOCSTART-	O
Export Business - Grain / oilseeds complex .	O O O O O O O O
10-15 15-5 15-11	O O O
Wall ( 8-4 ) allowed three hits , walked two and struck out seven as the Astros moved 1-1/2 games ahead of the Cardinals for the lead in the National League Central .	B-PER O O O O O O O O O O O O O O O B-ORG O O O O O O B-ORG O O O O O B-MISC I-MISC I-MISC O
Played on Friday :	O O O O
Serbian policeman shot dead in Kosovo province .	B-MISC O O O O B-LOC O O
He and other analysts said corporate America adopted a go-slow approach because Microsoft already was promoting the new version of its high-end Windows NT operating system , expected to be available in stores in the next several weeks .	O O O O O O B-LOC O O O O O B-ORG O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O
Drew said Peiris , a bird enthusiast , would have succeeded with the fraud if he had not tried to trade a fourth pair of bogus birds after an associate had told police of the scam .	B-PER O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Women 's singles	O O O
Andreas Andersson ( 87th )	B-PER I-PER O O O
Coritiba 1 Atletico Mineiro 0	B-ORG O B-ORG I-ORG O
Expected Sale Date : 08/28/96	O O O O O
Collective farms will last for the next few years , because most private farms now only produce enough to feed themselves with maybe a little extra to sell , said one private farmer : " In the future , maybe , but it 's better not to hurry .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
